Starting crawl of https://help.forcepoint.com/dlp/10.4.0/dlphelp/index.html
[Queue: 197] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/E76B6206-624A-451A-A41E-29C510DA0124.html
[Queue: 196] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/guid-e435cf34-2c4f-498b-a4e5-cfd3871dd773.html
[Queue: 195] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/10877AAC-E619-4D84-AD10-B7D90B25820A.html
[Queue: 194] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/D54EAD60-7EA0-4FF3-A90B-FA5E840A713E.html
[Queue: 193] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/D5289C27-B792-4EE0-8BB9-C687634337C5.html
[Queue: 198] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/guid-727ec0e9-53f8-4ea5-b3d8-2235cd40fb75.html
[Queue: 197] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/3EB22EFF-5178-41B1-A563-0337A49DBBBB.html
[Queue: 196] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/151BF03B-910B-468D-A5F3-27CEF1D07277.html
[Queue: 195] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/A703E958-27DB-479D-A31D-64D408D2CE02.html
[Queue: 194] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/D07DA880-1EEE-40F4-9B8C-853002D2BD41.html
[Queue: 207] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/C40FD949-9E26-4EE4-9204-4D35A10B6777.html
[Queue: 206] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/AEF7C12D-A93C-46C7-A743-78D6A03A4DC9.html
[Queue: 205] Crawling: https://help.forcepoint.com/dlp/10.4.0/dlphelp/5FACF39A-3E95-4CCD-A417-03CB3C770EF1.html
